Pays,Densité (P/Km2),Terre agricole (%),Superficie des terres (Km2),Taille des forces armées,Taux de natalité,Capitale / Ville principale,Émissions de CO2,IPC,Changement de l'IPC (%),Taux de fécondité,Superficie forestière (%),Prix de l'essence,PIB,Taux brut de scolarisation primaire (%),Taux brut de scolarisation tertiaire (%),Mortalité infantile,Plus grande ville,Espérance de vie,Ratio de mortalité maternelle,Salaire minimum,Langue officielle,Dépenses de santé à la charge du patient,Médecins pour mille,Participation à la force de travail (%),Recettes fiscales (%),Taux d'imposition total,Taux de chômage,Latitude,Longitude,Population Urbaine,Population,Continent
Afghanistan,60.0,58,652,323.0,32.49,Kabul,8.672,150.0,2,4.47,2,70.0,19101353833.0,104,10,47.9,Kabul,64.5,45.0,43.0,Pashto,78,0.28,49,9,71,11.12,33.93911,67.709953,9797273.0,38041754.0,Asie
Albanie,105.0,43,29,9.0,11.78,Tirana,4.536,119.0,1,1.62,28,136.0,15278077447.0,107,55,7.8,Tirana,78.5,15.0,112.0,Albanian,57,1.2,56,19,37,12.33,41.153332,20.168331,1747593.0,2854191.0,Europe
Algérie,18.0,17,2.381.741,317.0,24.28,Algiers,150.006,151.0,2,3.02,1,28.0,169988236398.0,110,51,20.1,Algiers,76.7,112.0,95.0,Arabic,28,1.72,41,37,66,11.7,28.033886,1.659626,31510100.0,43053054.0,Afrique
Andorre,164.0,40,468,0.0,7.2,Andorra la Vella,469,0.0,0,1.27,34,95.0,3154057987.0,106,0,2.7,Andorra la Vella,72.27967914438503,0.0,663.0,Catalan,36,3.33,0,0,0,0.0,42.506285,1.521801,67873.0,77142.0,Europe
Angola,26.0,48,1.246.700,117.0,40.73,Luanda,34.693,262.0,17,5.52,46,97.0,94635415870.0,114,9,51.6,Luanda,60.8,241.0,71.0,Portuguese,33,0.21,78,9,49,6.89,-11.202692,17.873887,21061025.0,31825295.0,Afrique
Antigua-et-Barbuda,223.0,20,443,0.0,15.33,"St John's, Saint John",557,114.0,1,1.99,22,99.0,1727759259.0,105,25,5.0,"St John's, Saint John",76.9,42.0,304.0,English,24,2.76,0,16,43,0.0,17.060816,-61.796428,23800.0,97118.0,Amérique
Argentine,17.0,54,2.780.400,105.0,17.02,Buenos Aires,201.348,233.0,54,2.26,10,110.0,449663446954.0,110,90,8.8,Buenos Aires,76.5,39.0,335.0,Spanish,18,3.96,61,10,106,9.79,-38.416097,-63.616672,41339571.0,44938712.0,Amérique
Arménie,104.0,59,30,49.0,13.99,Yerevan,5.156,129.0,1,1.76,12,77.0,13672802158.0,93,55,11.0,Yerevan,74.9,26.0,66.0,Armenian,82,4.4,56,21,23,16.99,40.069099,45.038189,1869848.0,2957731.0,Asie
Australie,3.0,48,7.741.220,58.0,12.6,Canberra,375.908,120.0,2,1.74,16,93.0,1392680589329.0,100,113,3.1,Sydney,82.7,6.0,60.0,Anglais,20,3.68,66,23,47,5.27,-25.274398,133.775136,21844756.0,25766605.0,Océanie
Autriche,109.0,32,84,21.0,9.7,Vienna,61.448,118.0,2,1.47,47,120.0,446314739528.0,103,85,2.9,Vienna,81.6,5.0,0.0,German,18,5.17,61,25,51,4.67,47.516231,14.550072,5194416.0,8877067.0,Europe
Azerbaïdjan,123.0,58,87,82.0,14.0,Baku,37.620,156.0,3,1.73,14,56.0,39207000000.0,100,28,19.2,Baku,72.9,26.0,47.0,Azerbaijani language,79,3.45,66,13,41,5.51,40.143105,47.576927,5616165.0,10023318.0,Asie
